name,Link,unitprice,amount,price,Description
PCB,,"8,21",5,"16,93",
3d printed case,,,,,
7 segment display,https://www.mouser.de/ProductDetail/Broadcom-Avago/HDSP-7401?qs=pQfy5%252BKCabKcASjs00IdeQ%3D%3D,"2,99",4,"11,96",
595-NA555P,https://www.mouser.de/ProductDetail/Texas-Instruments/NA555P?qs=iSMark9AYDXSJ%2FEUL8JKyA%3D%3D,35,1,"0,35",
595-CD4013B,https://www.mouser.de/ProductDetail/Texas-Instruments/CD4013BE?qs=pt%2FIv5r0EPc2Chv9B9JKAA%3D%3D,"0,59",1,"0,59",
595-CD4081BE,https://www.mouser.de/ProductDetail/Texas-Instruments/CD4081BE?qs=dQbkqP7qjaZ0jSz5I7zHYA%3D%3D,"0,88",1,"0,88",
595-CD4026BE,https://www.mouser.de/ProductDetail/Texas-Instruments/CD4026BE?qs=bkMXpVdiF42nXhwyXNpecA%3D%3D,"1,05",4,"4,2",
Diode,,,1,,i allready have some
switches,,,2,,i allready have some
10kOhm resistor,https://www.amazon.de/Kaiserberg-10k-Widerst%C3%A4nde-St%C3%BCck-DIY-Elektronikprojekte/dp/B0DWJVDN9W/ref=sr_1_7?crid=15PK3TG8R7DWN&dib=eyJ2IjoiMSJ9.FmFs0X0Ap70CBpJ0OlzmLYWcpcik__wAbEL1PuleZ6TfcA2EYhfvCJztmvKQnMMDv025ykeIXBHknCfpz-LORuVq7gWpjdDeQkyxsnXuYy65JGRPNh-WHnK2xBDslj0IVrUEiGnhRj1Ow5KV1Kjks96ORZmJrYL31NiZexZ1FzWZotnJRFnxECaNViDAaWJ9xLycxMIUHIjzrk3gzxTThb1X92JKrWq8ePEfi5-VErnzIzRQ9p0RZdNv-dntIT5bl9gaIjljsfr4fuzxk3dwN5odHEL8BrGyki9rj4zb52o.p1MPhIb5DxrkglPKmsJOpuWp8mw85WV4fXFWT-bhQGQ&dib_tag=se&keywords=widerst%C3%A4nde+10k+ohm&qid=1767903126&sprefix=widerst%C3%A4nde+10%2Caps%2C102&sr=8-7,"2,5",,"2,5",
680kOhm restistor,https://www.amazon.de/SCOOYUCK-Widerst%C3%A4nd-Toleranz-Metall-Widerstande/dp/B0F317CPX9/ref=sr_1_6?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1EPYZ211YG28M&dib=eyJ2IjoiMSJ9.QC-6ua9rLKiO-JgpD8gLdoe4KhuDKh15TO7qKDk5SU48g4CqbCaVcx57Uo-CinG4gvjfhcZcW0D6OA9Wu9jcZZgbsR9GV4J2Iwwk_D90qQDO77E1Qggbf7uB2YjAQDeYculO8cpjx1QOvtP1P6a4n8QHVQJNRuUrfAqiP1Si8yV0w0aSnCsHrMDVFHuQTJd1o1sgnBK8DG-ufECV5bLzc_YOoKQ8fgGw8n6_YzgA_uQBZMjC7D5ojOezgYk93XajUKW3aCsdQcxMtV7OirhbskTyrOB4AEmzqdn3UrUMD7w.alUWtP7pis_sPInB0ZjWUKdWfuJVJ0xipogeR45y11w&dib_tag=se&keywords=widerstand%2B680k%2Bohm&qid=1767903234&sprefix=widerst%C3%A4nde%2B680k%2Bohm%2Caps%2C89&sr=8-6&th=1,"3,99",,"3,99",
