name,Link,unitprice,amount,price,Description
PCB,,"8,21",5,"16,93",
3d printed case,,,,,
7 segment display,https://www.mouser.de/ProductDetail/Broadcom-Avago/HDSP-7401?qs=pQfy5%252BKCabKcASjs00IdeQ%3D%3D,"2,99",4,"11,96",
595-NA555P,https://www.mouser.de/ProductDetail/Texas-Instruments/NA555P?qs=iSMark9AYDXSJ%2FEUL8JKyA%3D%3D,35,1,"0,35",
595-CD4013B,https://www.mouser.de/ProductDetail/Texas-Instruments/CD4013BE?qs=pt%2FIv5r0EPc2Chv9B9JKAA%3D%3D,"0,59",1,"0,59",
595-CD4081BE,https://www.mouser.de/ProductDetail/Texas-Instruments/CD4081BE?qs=dQbkqP7qjaZ0jSz5I7zHYA%3D%3D,"0,88",1,"0,88",
595-CD4026BE,https://www.mouser.de/ProductDetail/Texas-Instruments/CD4026BE?qs=bkMXpVdiF42nXhwyXNpecA%3D%3D,"1,05",4,"4,2",
Diode,,,1,,i allready have some
switches,,,2,,i allready have some
10kOhm resistor,https://de.aliexpress.com/item/1005008175194639.html?spm=a2g0o.productlist.main.1.10b358c1msAfRe&algo_pvid=236027af-5519-421c-9148-0f7740e5c20e&algo_exp_id=236027af-5519-421c-9148-0f7740e5c20e-0&pdp_ext_f=%7B%22order%22%3A%22833%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.45%210.99%21%21%2111.47%217.82%21%40210384cc17686654169353957ed0f9%2112000044112288459%21sea%21DE%217184205098%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883eb49b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197696281&curPageLogUid=9wPGT0fVvwnQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008175194639%7C_p_origin_prod%3A,"0,99",,"0,99",
680kOhm restistor,https://de.aliexpress.com/item/1005008175194639.html?spm=a2g0o.productlist.main.1.10b358c1msAfRe&algo_pvid=236027af-5519-421c-9148-0f7740e5c20e&algo_exp_id=236027af-5519-421c-9148-0f7740e5c20e-0&pdp_ext_f=%7B%22order%22%3A%22833%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.45%210.99%21%21%2111.47%217.82%21%40210384cc17686654169353957ed0f9%2112000044112288459%21sea%21DE%217184205098%21ABX%211%210%21n_tag%3A-29910%3Bd%3A883eb49b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197696281&curPageLogUid=9wPGT0fVvwnQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008175194639%7C_p_origin_prod%3A,"0,99",,"0,99",
300Ohm resistor,https://www.amazon.de/YOKIVE-Kohlenstoff-Widerst%C3%A4nde-Toleranzen-Elektronische/dp/B0BNHTXS1S/ref=sr_1_6?crid=2NDO0UKP5V15W&dib=eyJ2IjoiMSJ9.wzVojvdSdevPIHajELAs_oNk9fywJt9QjqMzdNCeSvx_xRuVfr2oTJj_yS51vsu-GLm8J31oJ6pXLkMQPUhU2ReQji8ZcyEMd_fGRHQSWBbvN27dIlFMaYRQWAhV_deLIpG4l_BlixCTa5hXoPni_gfKVTqAJ2safuq8jzMPUxLAUiiyVpn4qh1UlT-cwrOhw4JV5ca66PspyaEpoWKBVi5_M2xu-ueip74c9x6ht3Hl02tYPgCt0VDjiREbDJNE-XERFeL_naPXjQ6RJvPmtlyT_tJhbpIhF63fO98IU54.Zkk_QS5klYCM4JCHt-xPVO7-gAtMooUXfxFD56_GbjE&dib_tag=se&keywords=widerstand+300+ohm&qid=1767903372&sprefix=widerstand+300ohm%2Caps%2C101&sr=8-6,"5,09",,"5,09",
